Audio_file,Raga Name,Tonic,Remarks,Artist Hindustani Music,Artist Others,Singer,Instrument,Vocals,Type,Accompanist,Raga,Tala,Bol,Gharana,Doha,Kaand,Compositions,Occasion,Participants,Director,Producer,Composer,Narrator,Lyricist,Episode,First Line of Song,Items,State / Region,Performers Conductor,Creation Date,Modification Date,Modified By,Track Count,Track Version Count,number of 30 second files
Chandrakauns-1,Chandrakauns,A#,HINDUSTANI CLASSICAL VOCAL BY PROF. UMA GARG,,,PROF. UMA GARG,,,Vocal,"TABLA-  USTAD AKHTAR HASSAN,  SARANGI-  PT. BHARAT BHUSHAN, TANPURA- SUMANT MUKHERJEE, SHIV DARSHAN DUBE",CHANDRAKAUNS (NIGHT),JHAPTAL,KANDHE KAMALIYA HATH LUKUTIYA,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,KANDHE KAMALIYA HATH LUKUTIYA,,JAIPUR,,13-05-2015 11:18,13-05-2015 11:18,Ingest,1,1,32
Shankara-2,Shankara,C#,"HINDUSTANI CLASSICAL VOCAL BY FALGUNI MITARA, CUT- 02",FALGUNI MITRA (VOCAL),,FALGUNI MITAR,,VOCAL RECITAL,Vocal, PAKHAWAJ- SHRI APURVA LAL MANNA   HARMONIUM-  SMT.  RUPASREE BHATTACHARYA,SHANKARA (NIGHT),SOOL TAL,PASHUPATI SHANKARA MAHADEV,,,,DHRUPAD,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,KOLKATA,,03-06-2015 12:06,03-06-2015 12:06,Ingest,1,1,50
Bhatiyar-1,Bhatiyar,D#,"HINDUSTANI CLASSICAL VOCAL BY SOMNATH MARDUR, CUT- 02",,,SOMNATH MARDUR,,VOCAL RECITAL,Vocal, SARANGI-  SHRI BHARAT BHUSHAN GOSWAMI TABLA-  SHAILENDRA MISHRA  HARMONIUM- PORMITA MUKHERJEE,BHATIYAR (MORNING),JHAPTAL,TU HI KARTAR,,,,VILAMBIT &DRUT GAT,AKASHWANI SNGEET  SAMMELAN,,,,,,,EP- 01,,,HIMACHAL PRADESH,,11-08-2015 10:26,11-08-2015 10:26,Ingest,1,1,40
Chandrakauns (Bageshri_ang)-1,Chandrakauns (Bageshri_ang),C#,HINDUSTANI CLASSICAL VOCAL BY SHRI INDU DHAR NIRODY,,,SHRI INDU DHAR NIRODY,,,Vocal," TABLA-  UDAYRAJ KARPOOR,   HARMONIUM-  VYAS MURTI KATTI,  SARANGI- FAYYAZ KHAN",CHANDRAKAUNS (NIGHT),JHAPTAL,BHIGANA HAR GANESH,,,,,RAVIVASIYA AKHI BHARTIYA SANGEET SABHA,,,,,,,PART 01,BHIGANA HAR GANESH,,BANGALORE,,14-05-2015 15:28,26-05-2015 12:57,Manager,1,1,48
Chandrakauns-6,Chandrakauns,D#,HINDUSTANI CLASSICAL VOCAL BY DR. VASANT RAO DESHPANDEY,VASANTRAO DESHPANDE (VOCAL),,DR. VASANT RAO DESHPANDEY,,,Vocal,,CHANDRAKAUNS (NIGHT),JHAPTAL,GUNIAN KE GUN,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,GUNIAN KE GUN,,DELHI,,25-05-2015 10:34,25-05-2015 10:34,Ingest,1,1,50
Chandrakauns (Bageshri_ang)-2,Chandrakauns (Bageshri_ang),D#,HINDUSTANI CLASSICAL VOCAL BY SHRI BALACHANDRA NAKOD,BALACHANDRA NAKOD (VOCAL),,SHRI BALACHANDRA NAKOD,,,Vocal," TABLA-  SHRI RAGHAVENDRA NAKOD,   HARMONIUM-  DR. PANCHAKSHARI, HIREMATH,  VIOLIN- SHRI SHANKAR T.KABADI",CHANDRAKAUNS (NIGHT),EK TAL,CHALO HATO GRIDHARI,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 02,CHALO HATO GRIDHARI,,DHARWAD,,18-05-2015 13:02,18-05-2015 13:02,Ingest,1,1,51
Chandrakauns (Bhairavi_ang)-1,Chandrakauns (Bhairavi_ang),C,HINDUSTANI CLASSICAL VOCAL BY PT. YASH PAL,YASH PAL (PROF.) (VOCAL),,PT. YASH PAL,,,Vocal," TABLA-   PRASUN CHATTERJEE,  SARANGI-  PT. BHARAT BHUSHAN GOSWAMI,   HARMONIUM-   SAJJAD AHMED",CHANDRAKAUNS (NIGHT),EK TAL,HE BEGI AWAN KAR PYAR,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,HE BEGI AWAN KAR PYAR,,JALANDHAR,,15-06-2015 16:12,15-06-2015 16:12,Ingest,1,1,57
Chandrakauns-4,Chandrakauns,C#,HINDUSTANI CLASSICAL VOCAL BY BALDEV SHARAN NARANG (TAAL-VILAMBIT  KHYAL  IN EK TAAL & DRUT IN TEEN TAAL) PART 02,,,BALDEV SHARAN NARANG,,,Vocal,"TABLA-  SHRI KALE RAM,   SARANGI-  SHEMANDER PAL SINGH",CHANDRAKAUNS (NIGHT),TEEN TAL,LAGI LAGAN MORI,,,,,RAVIVASURIYA AKHIL BHRTIYA SANGEET SHABHA,"TABLA-  SHRI KALE RAM,   SARANGI-  SHEMANDER PAL SINGH",,,,,,PART 02,,,,,04-02-2015 15:26,04-02-2015 15:26,Ingest,1,1,57
Chandrakauns-7,Chandrakauns,C#,HINDUSTANI CLASSICAL VOCAL BY SHARAD SUTAVANE,SHARAD SUTAVANE (VOCAL),,SHARAD SUTAVANE,,,Vocal," TABLA-  PANDIT MADAN MISHR,   HARMONIUM-  ANANT KEMKAR",CHANDRAKAUNS (NIGHT),EK TAL,YEH MOH MAN MAIN BASAT HAI,,,,,AKHIL BHARTIYA RAVIVASRIYA SANGEET SABHA,,,,,,,PART 02,YEH MOH MAN MAIN BASAT HAI,,MUMBAI,,27-05-2015 11:24,27-05-2015 11:24,Ingest,1,1,58
Chandrakauns-5,Chandrakauns,G#,HINDUSTANI CLASSICAL VOCAL BY VIDUSHI SHANNO KHURANA,,,,,,Vocal,  HARMONIUM-   REHMAN QURESHI  SARANGI-  PT. BHARAT BHUSHAN GOSWAMI,CHANDRAKAUNS (NIGHT),EK TAL,GHANSHYAM AAYE,,,,,RAVIVARSARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-01,,,,,24-07-2015 16:15,24-07-2015 16:15,Ingest,1,1,71
Shuddha_kalyan-4,Shuddha_kalyan,D,HINDUSTANI CLASSICAL VOCAL BY PT. VIDYADHAR VYAS,VIDYADHAR VYAS (VOCAL),,,,,Vocal, TABLA-   PT. ANAND GOPAL BANDOPADHYAY   HARMONIUM-   RUP SHREE BHATTACHARYA,SHUDDHA KALYAN (EVENING),EK TAL,,,,,,RAVIVARSARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-01,,,,,27-07-2015 14:25,27-07-2015 14:25,Ingest,1,1,88
Khamaj-3,Khamaj,G#,HINDUSTANI CLASSICAL VOCAL BY KOYAL DAS GUPTA,,,KOYAL DAS GUPTA,,,Vocal," TABLA-  PARIMAL CHAKRABORTY,   HARMONIUM-  HIRAMMOY MITRA",KHAMAJ (NIGHT),,,,,,DADRA,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 05,,,KOLKATA,,08-06-2015 13:04,08-06-2015 13:04,Ingest,1,1,12
Durga-3,Durga,D,"HINDUSTANI CLASSICAL VOCAL BY SHRI GANAPATHI BHAT HAASANGI, PART- 02",GANAPATI BHAT (VOCAL),,SHRI GANAPATHI BHAT HAASANGI,,,Vocal," TABLA-  PRASUN CHATTERJEE,   HARMONIUM-   MOHAN MUNGRE",DURGA (NIGHT),ROOPAK,) ROOP JO BANA,,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 02,ROOP JO BANA,,BANGALORE,,07-05-2015 11:43,07-05-2015 11:43,Ingest,1,1,54
Kafi_malhar-1,Kafi_malhar,D#,HINDUSTANI CLASSICAL VOCAL BY PT. LAKSHMAN PRASAD JAIPURWALE,,,,,,Vocal,,KAFI MALHAR (NIGHT),,AAJ KARI GHATA GHOOM KAR AAYE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,10-07-2015 16:02,10-07-2015 16:02,Ingest,1,1,23
Chayanat-6,Chayanat,A#,HINDUSTANI CLASSICAL VOCAL BY RITA ROY,,,RITA ROY,,,Vocal,,CHAYANAT (NIGHT),EK TAL,AI RI AB GUNDH LAO RI,,,,VILAMBIT KHAYAL,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,AI RI AB GUNDH LAO RI,,DELHI,,08-05-2015 11:35,08-05-2015 11:35,Ingest,1,1,46
Chayanat-4,Chayanat,A#,"HINDUSTANI CLASSICAL VOCAL BY VIDUSHI SUMITRA GUHA, CUT- 01",SUMITRA GUHA (VOCAL),,VIDUSHI SUMITRA GUHA,,VOCAL RECITAL,Vocal,TABLA-  SUDHIR PANDAY  SARANGI-  ALLAH RAKHA KALAWANT  HARMONIUM-  SUBHASH DASAKKAR,CHAYANAT (NIGHT),EK TAL,AIRI AB GOONDH LAORI,,,,VILAMBIT &DRUT GAT,AKASHVANI SANGEET SAMMELAN- 2012 (SPECIAL PROGRAMME OF MUSIC),,,,,,,,,,INDORE,,10-06-2015 12:16,10-06-2015 12:16,Ingest,1,1,58
Bhopali-12,Bhopali,G#,HINDUSTANI CLASSICAL VOCAL BY BHARATI VAISHAMPAYAN,,,BHARATI VAISHAMPAYAN,,,Vocal," TANPURA- HRISHIKESH BODAS''A' STAFF,  TABLA-  KEDAR VAISHAMPAYAN""BH'',   HARMONIUM-  CHINMAYA KOHATAKAR'B",BHOOP (NIGHT),EK TAL,AIRI AAJ BHAILWA SUKHWA MORE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,AIRI AAJ BHAILWA SUKHWA MORE,,SRINAGAR,,17-06-2015 15:12,17-06-2015 15:12,Ingest,1,1,57
Kans_gandhar-1,Kans_gandhar,D,HINDUSTANI CLASSICAL VOCAL BY MOHAN KUMAR DAREKAR,,,,,,Vocal, TABLA-   OMKAR GULWADI   HARMONIUM-  PROMOD MARTHE,N/A (),EK TAL,"AE HO MOHE LAAGE BRINDAVAN KI, AE RI NAINAN BAAN AISE LAGO.",,,,,,,,,,,,CUT-01,,,,,08-07-2015 11:53,08-07-2015 11:53,Ingest,1,1,69
Chayanat-1,Chayanat,D#,HINDUSTANI CLASSICAL VOCAL BY DR. VASANT RAO DESHPANDEY,VASANTRAO DESHPANDE (VOCAL),,DR. VASANT RAO DESHPANDEY,,,Vocal,,CHAYANAT (NIGHT),EK TAL,PANAN BIRI BANAYE,,,,,RAVIVARSIYA AKHIL BHARTYA SANGEET SABHA (NATIONAL PROGRAMME OF MUSIC),,,,,,,PART 01,PANAN BIRI BANAYE,,DELHI,,25-05-2015 10:29,25-05-2015 10:29,Ingest,1,1,85
Chayanat-2,Chayanat,G#,HINDUSTANI CLASSICAL VOCAL BY SHUBHADA PARADKAR,SHUBHADA PARADKAR (VOCAL),,SHUBHADA PARADKAR,,VOCAL RECITAL,Vocal,"  VIOLIN-  RATNAKAR GOKHLE  HARMONIUM-  PRAMOD MARATHE, TABLA-  DATTA TRIYE GOKTE",CHAYANAT (NIGHT),JHOOMRA,KARAT HO MOSO NIHA KI JHOOTI JHOOTI BATIYA,,,,,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,DELHI,,11-06-2015 15:24,11-06-2015 15:24,Ingest,1,1,90
Pahadi-6,Pahadi,C#,HINDUSTANI CLASSICAL VOCAL BY MOHINDER SINGH (TAAL-BANDISH IN KEHARWA TAAL) PART 02,,,MOHINDER SINGH,,,Vocal,"TABLA-  SHRI KALE RAM,  SARANGI-  SHRI SEMENDER PAL SINGH",PAHADI (NIGHT),KEHARWA,BALMA KADAR NAHI JANI,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,"TABLA-  SHRI KALE RAM,  SARANGI-  SHRI SEMENDER PAL SINGH",,,,,,PART 02,,,JALANDHAR,,06-02-2015 11:50,06-02-2015 11:50,Ingest,1,1,26
Mishra_khamaj-3,Mishra_khamaj,C#,"HINDUSTANI CLASSICAL VOCAL BY MOHINDER SINGH, CUT- 02",,,MOHINDER SINGH,,VOCAL RECITAL,Vocal," TABLA-   KALIRAM,  SARANGI- SHAMINDER PAL SINGH, TANPURA- SATVANDER KAUR, SWARMANDAL-OMPRAKASH THAPA",DADRA (ANYTIME),,KARE MAN MANI SAVARIY,,,,,NATIONAL PROGRAM OF MUSIC,,,,,,,PART 1,,,JALANDHAR,,29-05-2015 14:49,29-05-2015 14:49,Ingest,1,1,17
Jog_kauns-1,Jog_kauns,D#,HINDUSTANI CLASSICAL VOCAL BY DR. SHASHANK MAKTEDAR,,,DR. SHASHANK MAKTEDAR,,VOCAL RECITAL,Vocal," TABLA-   BHARAT KAMAT,   HARMONIUM-   RAYA KORGAONKAR,  TANPURA-  DULARI MANKAD & POOJA CHAUDA",JOG KAUNS (NIGHT),EK TAL,"SUGAR BHAR BAYO, PEER PARAI JAANI NAHI",,,,VILAMBIT &DRUT GAT,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 01,SUGAR BHAR BAYO,,GUJARAT,,04-08-2015 12:12,04-08-2015 12:12,Ingest,1,1,62
Malkauns-11,Malkauns,D#,HINDUSTANI CLASSICAL VOCAL BY CHANDRA SHEKHAR VAJHE,,,,,,Vocal, TABLA-   MUKUND RAJ DEV   HARMONIUM-  SRINIVAS ACHARYA,MALKAUNS (NIGHT),EK TAL,PAG LAGAN DE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,22-07-2015 15:44,22-07-2015 15:44,Ingest,1,1,66
Darbari-2,Darbari,C,HINDUSTANI CLASSICAL VOCAL BY GIRISH WAJALWAR,,,GIRISH WAJALWAR,,,Vocal,"TABLA-  MUKUND BHALE,  HARMONIUM- SHAMSHAD AHMAD",DARVARI (NIGHT),EK TAL,AIRI BIRAHI,,,,,AKASHVANI SANGEET SABHA-2009 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 01,AIRI BIRAHI,,DELHI,,11-06-2015 13:00,11-06-2015 13:00,Ingest,1,1,71
Darbari-1,Darbari,C#,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,ASLAM HUSSAIN KHAN (VOCAL),,ASLAM HUSSAIN KHAN,,,Vocal," TABLA-  ANISH PRADHAN,   HARMONIUM-  SUDHIR NAYAK",DARVARI (NIGHT),TEEN TAL,GARAV NA KIJIYE,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,GARAV NA KIJIYE,,MUMBAI,,07-05-2015 14:54,07-05-2015 14:54,Ingest,1,1,101
Darbari_kanada-2,Darbari_kanada,D#,HINDUSTANI CLASSICAL VOCAL BY SHRI BALACHANDRA NAKOD,BALACHANDRA NAKOD (VOCAL),,SHRI BALACHANDRA NAKOD,,,Vocal," TABLA-  SHRI RAGHAVENDRA NAKOD,   HARMONIUM-  DR. PANCHAKSHARI, HIREMATH,  VIOLIN- SHRI SHANKAR T.KABADI",DARVARI KANADA (NIGHT),EK TAL,AUR NAHIN KACHU KAAM,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,AUR NAHIN KACHU KAAM,,DHARWAD,,18-05-2015 14:37,18-05-2015 14:37,Ingest,1,1,55
Darbari_kanada-3,Darbari_kanada,C#,"HINDUSTANI CLASSICAL VOCAL BY K. V. NANDA KUMAR,CUT- 01",,,K.V. NANDA KUMAR,,VOCAL RECITAL,Vocal," TABLA-  PT.  RAVINDRA YAVGAL ,  VIOLIN-   C.N. CHANDRA SHEKHAR ,  HARMONIUM-  DR. RAVINDRA KATOTI",DARVARI KANADA (NIGHT),JHAPTAL,,,,,,,,,,,,,PART 1,,,BANGALORE,,14-05-2015 14:35,14-05-2015 14:35,Ingest,1,1,60
Des-2,Des,D,"HINDUSTANI CLASSICAL VOCAL BY AMIT MUKHERJEE, CUT- 02",,,AMIT MUKHERJEE,,VOCAL RECITAL,Vocal,"TABLA-  GOPAL MASHR,  HARMONIUM-  HIRANMOY MITRA",DES (NIGHT),TEEN TAL,KARAM MORE JAGE AAJ MAHARAJ,,,,,RAVI VASARIYA AKHIL BHARTIYA SANGEET SAMMELAN,,,,,,,,,,DELHI,,08-06-2015 14:13,08-06-2015 14:13,Ingest,1,1,21
Des-6,Des,D,"HINDUSTANI CLASSICAL VOCAL BY MASHKOOR ALI KHAN, CUT- 03",MASHQOOR ALI KHAN (VOCAL),,MASHKOOR ALI KHAN,,VOCAL RECITAL,Vocal," TABLA-  USTAD. JAAFAR MD. KHAN,   HARMONIUM-  SUDHANSHU KULKARNI  SARANGI- SARVAR HUSSAIN",DES (NIGHT),TEEN TAL,MEGH BARAS RE ABHI RE MEHARVA,,,,,AKASHWANI SANGEET SAMMELAN(SPECIAL PROGRMME OF MUSIC),,,,,,,,,,DELHI,,03-06-2015 16:27,03-06-2015 16:27,Ingest,1,1,23
Basant_kedar-3,Basant_kedar,A,"HINDUSTANI CLASSICAL VOCAL BY NILAKSHI ZUVEKAR, PART- 01",,,NILAKSHI ZUVEKAR,,,Vocal," TABLA-  ONKAAR GALVARI,   HARMONIUM-  ANANTH JOSHI",BASANT KEDAR (NIGHT),TEEN TAL,ATTAR SUGANDH,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,ATTAR SUGANDH,,MUMBAI,,07-05-2015 12:25,07-05-2015 12:25,Ingest,1,1,25
Des-3,Des,A#,HINDUSTANI CLASSICAL VOCAL BY MEETA PANDIT,,,MEETA  PANDIT,,,Vocal," TABLA-  PRASUN CHATTERJEE,  SARANGI- MURAD ALI,  HARMONIUM-  MEHMOOD DHOLPURI",DES (NIGHT),,AO PANGHAT PE JAMUNA KE TAT PE,,,,BHAJAN,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 03,AO PANGHAT PE JAMUNA KE TAT PE,,DELHI,,04-06-2015 11:18,04-06-2015 11:18,Ingest,1,1,32
Nayaki_kanada-1,Nayaki_kanada,A#,HINDUSTANI CLASSICAL VOCAL BY APARNA PANSHIKAR,,,APARNA PANSHIKAR,,VOCAL RECITAL,Vocal," TABLA-   SALEEM ALLAH WALE,   HARMONIUM-   ZAMEER KHAN",NAYAKI KANADA (NIGHT),ROOPAK,MERO PIYA,,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 02,MERO PIYA,,UTTAR PRADESH,,03-08-2015 11:29,03-08-2015 11:29,Ingest,1,1,38
Hansdhwani-3,Hansdhwani,D#,HINDUSTANI CLASSICAL VOCAL BY PARMESHWAR HEGDE,PARMESHWAR HEGDE (VOCAL),,PARMESHWAR HEGDE,,VOCAL RECITAL,Vocal," TABLA-   GOPAL KRISHAN HEGDE,   HARMONIUM-   DR. SHUDHANSHU KULKARNI",HAMSADHVANI (),ROOPAK,,,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 02,,,GUJARAT,,04-08-2015 14:34,04-08-2015 14:34,Ingest,1,1,47
Bageshri_kanada-3,Bageshri_kanada,D,"HINDUSTANI CLASSICAL VOCAL BY GAJENDRA BAKSHI, CUT- 01",GAJENDRA BAXI (VOCAL),,GAJENDRA BAKSHI,,VOCAL RECITAL,Vocal," TABLA-  MAHENDI HASAN A. KHAN,  HARMONIUM-   NIRANJAN LELE, TANPURA-  FIROZ KHAN",BAGESHRI KANADA (NIGHT),JHOOMRA,GORE GORE MUKH,,,,VILAMBIT &DRUT GAT,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,RAJKOT,,22-06-2015 12:05,22-06-2015 12:05,Ingest,1,1,49
Darbari_kanada-4,Darbari_kanada,D,HINDUSTANI CLASSICAL VOCAL BY GIRISH CHATTOPADHYAY,,,GIRISH CHATTOPADHYAY`,,VOCAL RECITAL,Vocal," TABLA-  ASIT KUMAR JANA,  HARMONIUM-  HIRANMOY MITRA",DARVARI KANADA (NIGHT),EK TAL,"MUBARAKHVA DIYA, AAJ NANDLAL SAKHI PREM MAD PI",,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,"MUBARAKHVA DIYA, AAJ NANDLAL SAKHI PREM MAD PI",,WEST BENGAL,,03-08-2015 11:01,03-08-2015 11:01,Ingest,1,1,67
Jog-6,Jog,D,HINDUSTANI CLASSICAL VOCAL BY GANAPATHI BHAT HASANAGI PART 01,,,GANAPATHI BHAT HASANAGI,,,Vocal,"TABLA-  PRASUN CHATTERJEE,  HARMONIUM- MOHAN MUNGRE",JOG (NIGHT),TEEN TAL,JIYARA MANTA NAHI,,,,,AKASHVANI SANGEET SAMMELAN-2012,"TABLA-  PRASUN CHATTERJEE,  HARMONIUM- MOHAN MUNGRE",,,,,,PART 01,,,BANGALORE,,10-02-2015 12:03,10-02-2015 12:03,Ingest,1,1,79
Basant_bhairav-1,Basant_bhairav,C#,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,,,,,,,,N/A (),TEEN TAL,SUN ODHO MADHAV KE & JAI JAI PITA PARMANAND DATA,,,,,,,,,,,,CUT-02,,,,,14-07-2015 15:06,14-07-2015 15:06,Ingest,1,1,14
Shivmat_bhairav-1,Shivmat_bhairav,C#,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,,,,,,Vocal,,SHIVMATT BHAIRAV (MORNING),EK TAL,AE RI MAI MAINE APNO SHIV PAYO & TUM BIN KAUN HARE DUKH MERE.,,,,,,,,,,,,CUT-05,,,,,14-07-2015 12:15,14-07-2015 12:15,Ingest,1,1,17
Aheer_bhairav-4,Aheer_bhairav,C#,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,,,,,,Vocal,,AHEER BHAIRAV (MORNING),ROOPAK,"MERO RAB, RAB KO SAB & RAB KO PECHAAN.",,,,,,,,,,,,CUT-04,,,,,14-07-2015 12:12,14-07-2015 12:12,Ingest,1,1,17
Des-5,Des,C#,HINDUSTANI CLASSICAL VOCAL BY USTAD GHULAM SADIQ KHAN,GHULAM SADIQ KHAN (VOCAL),,USTAD GHULAM SADIQ KHAN,,,Vocal,,DES (NIGHT),TEEN TAL,KARAM KAR DIJIYE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,KARAM KAR DIJIYE,,DELHI,,18-05-2015 12:09,18-05-2015 12:09,Ingest,1,1,19
Durga-2,Durga,C#,HINDUSTANI CLASSICAL VOCAL BY USTAD GHULAM SADIQ KHAN,GHULAM SADIQ KHAN (VOCAL),,USTAD GHULAM SADIQ KHAN,,,Vocal," TABLA-  NAFEES AHMED,   HARMONIUM-  JAIRAM POTDAR,  TANPURA- SUBHASH DIXIT & DURGA SHARMA",DURGA (NIGHT),TEEN TAL,ROOP JOBAN GUN DHARO HI REHAT HAI,,,,,AKASHWANI SANGEET SAMMELAN- 2010 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 02,ROOP JOBAN GUN DHARO HI REHAT HAI,,JALANDHAR,,05-06-2015 14:40,05-06-2015 14:40,Ingest,1,1,25
Rageshree-2,Rageshree,C#,HINDUSTANI CLASSICAL VOCAL BY SUHAS VYAS,,,,,,Vocal, TABLA-   OMKAR GULWADI  HARMONIUM-  SHRI PURSHOTAM BALAVALKAR,RAGESHRI (NIGHT),EK TAL,"MERO MAN LAGO, UTARO NAZARIYA.",,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,08-07-2015 15:00,08-07-2015 15:00,Ingest,1,1,59
Paraj-2,Paraj,G#,HINDUSTANI CLASSICAL VOCAL BY MANGALA JOSHI,,,MANGALA JOSHI,,N,Vocal," TABLA-  MANAMOHAN KUMBHARE,   HARMONIUM-  TUKARAM BUGAD,  TANPURA- HRISHIKESH BODAS",PARAJ (NIGHT),JHAPTAL,LAAL AAYE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,LAAL AAYE,,SANGLI,,18-06-2015 12:50,18-06-2015 12:50,Ingest,1,1,36
Gaud_malhar-3,Gaud_malhar,A#,HINDUSTANI CLASSICAL VOCAL BY SMT. KALPANA JHOKARKAR,,,SMT. KALPANA JHOKARKAR,,,Vocal," HARMONIUM-  SHRI CHAITANYA KUNTE, TABLA-  SHRI ULLHAS RAJ HANS",GAUD MALHAR (NIGHT),TEEN TAL,PAPI DADURVA & AFTER TARANA,,,,,AKASHWANI SANGEET SAMMELAN OCTOBER 2009 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 02,PAPI DADURVA & AFTER TARANA,,MATHURA,,27-05-2015 12:10,27-05-2015 12:10,Ingest,1,1,38
Gaud_malhar-4,Gaud_malhar,D#,HINDUSTANI CLASSICAL VOCAL BY MOHAN LAL MISRA,,,MOHAN LAL MISRA,,,Vocal," TABLA-  PT.SOHANLAL MISHRA,   HARMONIUM-  RUPOSHRI BHATTACHARYA",GAUD MALHAR (NIGHT),EK TAL,BARSE MEHARWA,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,BARSE MEHARWA,,KOLKATA,,08-06-2015 14:06,08-06-2015 14:06,Ingest,1,1,41
Gaud_malhar-2,Gaud_malhar,G,HINDUSTANI CLASSICAL VOCAL BY NEELA M. KODLI,,,NEELA M. KODLI,,,Vocal," TABLA-   VISHWANATH NAKOD,   HARMONIUM-   VASANT KANAKAPUR",GAUD MALHAR (NIGHT),TEEN TAL,MANAN KARI,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,MANAN KARI,,DHARWAD,,15-06-2015 15:41,15-06-2015 15:41,Ingest,1,1,41
Gaud_malhar-1,Gaud_malhar,D,HINDUSTANI CLASSICAL VOCAL BY DINKAR KENKINI,DINKAR KAIKINI (VOCAL),,DINKAR KENKINI,,,Vocal,,GAUD MALHAR (NIGHT),TEEN TAL,BALMA BAHAR AYEE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,BALMA BAHAR AYEE,,DELHI,,01-06-2015 12:53,01-06-2015 12:53,Ingest,1,1,56
Gaud_sarang-1,Gaud_sarang,D#,HINDUSTANI CLASSICAL VOCAL BY ARUN KASHALKAR,ARUN KASHALKAR (VOCAL),,ARUN KASHALKAR,,,Vocal," TABLA-  JAYANT NAYK,   HARMONIUM-  JAYANT PHARKE",GAUD SARANG (AFTERNOON),ROOPAK,NA MARO PICHKARI,,,,KHAYAL,SPECIAL PROGRAMME OF MUSIC,,,,,,,PART 02,NA MARO PICHKARI,,DELHI,,05-06-2015 15:26,05-06-2015 15:26,Ingest,1,1,32
Nat_bhairav-1,Nat_bhairav,C#,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,,,,,,Vocal,,NAT BHAIRAV (MORNING),EK TAL,ARE MAN MURAK JANAM & NAAM RATAT HOON,,,,,,,,,,,,CUT-06,,,,,14-07-2015 12:18,14-07-2015 12:18,Ingest,1,1,18
Gavati-2,Gavati,C#,HINDUSTANI CLASSICAL VOCAL DUET BY RAJESH MISHR AND GEETESH MISHR,,,RAJESH MISHR AND GEETESH MISHR,,,Vocal Duet," TABLA-  SUDHIR PANDEY,   HARMONIUM-  VINAY MISHR,  SARANGI- BHARAT BHUSHAN",GAVATI (NIGHT),TEEN TAL,,,,,TARANA,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,,,DELHI,,26-05-2015 10:45,26-05-2015 10:45,Ingest,1,1,31
